id1,id2,ddi_risk
DB00006,DB00063,Significant
DB00006,DB00682,Significant
DB00006,DB00686,Significant
DB00006,DB00775,Significant
DB00006,DB01109,Significant
DB00006,DB06605,Significant
DB00080,DB00175,Significant
DB00080,DB00227,Significant
DB00080,DB00439,Significant
DB00080,DB00641,Significant
DB00080,DB01076,Significant
DB00080,DB01095,Significant
DB00080,DB01098,Significant
DB00080,DB08860,Significant
DB00091,DB00052,Critical
DB00091,DB00091,"Potentially significant"
DB00091,DB00104,Significant
DB00091,DB00175,Critical
DB00091,DB00175,"Potentially significant"
DB00091,DB00176,Significant
DB00091,DB00196,Critical
DB00091,DB00197,Critical
DB00091,DB00199,Critical
DB00091,DB00199,"Potentially significant"
DB00091,DB00208,Significant
DB00091,DB00220,"Potentially significant"
DB00091,DB00224,"Potentially significant"
DB00091,DB00227,Critical
DB00091,DB00227,"Potentially significant"
DB00091,DB00237,Significant
DB00091,DB00241,Significant
DB00091,DB00243,Critical
DB00091,DB00243,"Potentially significant"
DB00091,DB00252,Critical
DB00091,DB00263,Significant
DB00091,DB00295,"Potentially significant"
DB00091,DB00305,"Potentially significant"
DB00091,DB00341,"Potentially significant"
DB00091,DB00343,Critical
DB00091,DB00343,"Potentially significant"
DB00091,DB00349,"Potentially significant"
DB00091,DB00359,Significant
DB00091,DB00390,"Potentially significant"
DB00091,DB00440,Significant
DB00091,DB00444,"Potentially significant"
DB00091,DB00455,"Potentially significant"
DB00091,DB00468,"Potentially significant"
DB00091,DB00472,Significant
DB00091,DB00480,"Potentially significant"
DB00091,DB00501,"Potentially significant"
DB00091,DB00503,"Potentially significant"
DB00091,DB00529,Critical
DB00091,DB00532,Critical
DB00091,DB00537,"Potentially significant"
DB00091,DB00541,"Potentially significant"
DB00091,DB00553,Significant
DB00091,DB00563,"Potentially significant"
DB00091,DB00563,Significant
DB00091,DB00570,"Potentially significant"
DB00091,DB00576,Significant
DB00091,DB00582,Critical
DB00091,DB00586,Significant
DB00091,DB00602,"Potentially significant"
DB00091,DB00607,Significant
DB00091,DB00615,Critical
DB00091,DB00619,"Potentially significant"
DB00091,DB00622,"Potentially significant"
DB00091,DB00622,Significant
DB00091,DB00624,Significant
DB00091,DB00661,Critical
DB00091,DB00661,"Potentially significant"
DB00091,DB00694,"Potentially significant"
DB00091,DB00696,Critical
DB00091,DB00701,"Potentially significant"
DB00091,DB00734,"Potentially significant"
DB00091,DB00741,"Potentially significant"
DB00091,DB00754,Critical
DB00091,DB00762,"Potentially significant"
DB00091,DB00773,Critical
DB00091,DB00773,"Potentially significant"
DB00091,DB00783,"Potentially significant"
DB00091,DB00795,Significant
DB00091,DB00863,"Potentially significant"
DB00091,DB00864,"Potentially significant"
